h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.131473,0.104264,0.157791,-0.004424,-0.009335,0.000423,-0.000480,-0.001714,0.000740,0.000312,-0.000597,0.001271,0.006844,-0.005641,0.019816,0.023555,0.009821,0.037608
2,0.143884,0.114645,0.174514,-0.005134,-0.010140,-0.000124,-0.000690,-0.001900,0.000540,0.000316,-0.000626,0.001224,0.011175,-0.002602,0.023846,0.019403,0.003398,0.035814
3,0.108751,0.075848,0.141501,-0.005316,-0.010456,0.000013,-0.000603,-0.001849,0.000704,0.000258,-0.000668,0.001170,-0.000384,-0.014024,0.013492,0.017732,0.000712,0.035607
4,0.078961,0.044943,0.115882,-0.004291,-0.009673,0.000954,-0.000654,-0.001982,0.000538,0.000349,-0.000567,0.001267,-0.001920,-0.016274,0.012189,0.029488,0.010494,0.048091
5,0.078545,0.043461,0.117559,0.001499,-0.004029,0.006686,-0.000625,-0.001854,0.000622,0.000297,-0.000614,0.001222,0.004892,-0.010030,0.020007,0.030384,0.009549,0.050756
6,0.094882,0.055010,0.134677,-0.002269,-0.007732,0.003103,-0.000820,-0.002064,0.000527,0.000290,-0.000673,0.001208,-0.003156,-0.018737,0.012287,0.046695,0.025633,0.068221
7,0.090560,0.049208,0.130272,-0.005053,-0.010730,0.000425,-0.000919,-0.002163,0.000347,0.000433,-0.000474,0.001346,-0.014312,-0.030531,0.001595,0.034479,0.011515,0.057758
8,0.073127,0.031158,0.115602,-0.005792,-0.011624,-0.000195,-0.001135,-0.002453,0.000202,0.000552,-0.000453,0.001508,-0.003418,-0.020075,0.013301,0.051773,0.027997,0.075514
9,0.044917,0.002849,0.087903,-0.004140,-0.010177,0.001988,-0.001097,-0.002441,0.000225,0.000469,-0.000502,0.001412,-0.005135,-0.022520,0.012348,0.037237,0.013188,0.062240
