h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.141451,0.114577,0.168186,-0.004588,-0.009810,0.000532,-0.000388,-0.001623,0.000867,0.000488,-0.000415,0.001427,0.000396,-0.012704,0.013230,0.030568,0.016470,0.044718
2,0.162046,0.131809,0.192957,-0.005862,-0.010974,-0.000516,-0.000559,-0.001842,0.000779,0.000513,-0.000473,0.001470,0.001623,-0.011051,0.015428,0.023981,0.008318,0.041237
3,0.140461,0.107156,0.173739,-0.005411,-0.010940,-0.000222,-0.000461,-0.001738,0.000830,0.000480,-0.000486,0.001445,-0.011454,-0.025307,0.003422,0.017060,0.000096,0.035037
4,0.108578,0.073427,0.147078,-0.004999,-0.010581,0.000334,-0.000568,-0.001853,0.000738,0.000523,-0.000473,0.001481,-0.010568,-0.024963,0.003792,0.031054,0.011041,0.050485
5,0.102922,0.065602,0.142757,-0.000285,-0.005845,0.005388,-0.000486,-0.001778,0.000829,0.000412,-0.000536,0.001369,0.000894,-0.014202,0.016163,0.036598,0.016493,0.057439
6,0.115743,0.073299,0.158255,-0.002910,-0.008623,0.002846,-0.000567,-0.001855,0.000721,0.000381,-0.000560,0.001419,-0.012477,-0.028377,0.003068,0.053936,0.032285,0.076512
7,0.116136,0.073787,0.161257,-0.007684,-0.013522,-0.001743,-0.000689,-0.001996,0.000646,0.000444,-0.000554,0.001438,-0.020370,-0.037095,-0.003663,0.035691,0.012781,0.059963
8,0.104571,0.060902,0.150450,-0.008978,-0.014915,-0.003056,-0.000884,-0.002188,0.000478,0.000554,-0.000449,0.001518,-0.009126,-0.026343,0.008636,0.054697,0.030383,0.080069
9,0.067525,0.021293,0.115902,-0.007743,-0.013986,-0.001736,-0.000844,-0.002266,0.000448,0.000464,-0.000531,0.001523,-0.009031,-0.027108,0.009693,0.051848,0.027502,0.077574
10,0.060135,0.011978,0.108830,-0.005978,-0.012506,0.000236,-0.000877,-0.002279,0.000485,0.000685,-0.000343,0.001671,-0.009129,-0.028363,0.009210,0.033065,0.007919,0.059204
11,0.058214,0.008681,0.108844,-0.007232,-0.013680,-0.000713,-0.000887,-0.002275,0.000516,0.000732,-0.000268,0.001710,-0.003390,-0.022997,0.016124,0.015818,-0.009015,0.042277
12,0.050802,0.001284,0.103555,-0.008843,-0.015415,-0.002581,-0.000925,-0.002263,0.000414,0.000763,-0.000295,0.001750,0.003960,-0.015975,0.024599,0.016328,-0.009343,0.043368
13,0.036282,-0.008406,0.085799,-0.007977,-0.013017,-0.003271,-0.000942,-0.001810,-0.000104,-0.000115,-0.000699,0.000467,0.010417,-0.007381,0.028917,0.013199,-0.009127,0.037652
14,0.027287,-0.017120,0.076140,-0.007934,-0.013073,-0.003102,-0.001039,-0.001891,-0.000199,-0.000139,-0.000708,0.000432,0.017632,-0.000970,0.037003,0.010777,-0.010721,0.034188
15,0.016607,-0.027546,0.064447,-0.007883,-0.013247,-0.002827,-0.001126,-0.002032,-0.000282,-0.000184,-0.000722,0.000396,0.022084,0.002559,0.041848,0.015786,-0.005584,0.038060
16,0.006186,-0.038581,0.053423,-0.007630,-0.013179,-0.002607,-0.001141,-0.002022,-0.000271,-0.000287,-0.000853,0.000287,0.025512,0.005509,0.046176,0.008862,-0.011081,0.029981
17,-0.002565,-0.049060,0.044478,-0.008315,-0.013954,-0.002902,-0.001166,-0.002083,-0.000318,-0.000271,-0.000837,0.000291,0.030933,0.009766,0.052663,0.007973,-0.010950,0.028447
18,-0.016481,-0.063947,0.029832,-0.008921,-0.014805,-0.003387,-0.001266,-0.002209,-0.000376,-0.000299,-0.000875,0.000271,0.035628,0.013471,0.058382,0.008636,-0.009862,0.027993
19,-0.027705,-0.074721,0.018544,-0.008448,-0.014574,-0.002845,-0.001371,-0.002321,-0.000461,-0.000385,-0.000947,0.000181,0.038979,0.016795,0.062999,0.010830,-0.005829,0.028959
20,-0.035332,-0.083020,0.010653,-0.008680,-0.015072,-0.003150,-0.001393,-0.002360,-0.000478,-0.000438,-0.001013,0.000117,0.042384,0.019021,0.067090,0.010578,-0.004077,0.027629
21,-0.039461,-0.087941,0.006086,-0.008930,-0.015463,-0.003079,-0.001480,-0.002441,-0.000567,-0.000369,-0.000938,0.000211,0.043378,0.019505,0.069746,0.012386,-0.001615,0.028464
22,-0.044349,-0.094075,0.001307,-0.008726,-0.015343,-0.002880,-0.001587,-0.002560,-0.000663,-0.000380,-0.000965,0.000155,0.044702,0.020704,0.071446,0.013511,0.001063,0.028504
23,-0.049372,-0.099059,-0.003487,-0.008711,-0.015554,-0.002901,-0.001645,-0.002626,-0.000751,-0.000373,-0.000941,0.000163,0.046409,0.021688,0.074175,0.013701,0.001372,0.027664
24,-0.053554,-0.103608,-0.008516,-0.009115,-0.016107,-0.002992,-0.001660,-0.002683,-0.000754,-0.000417,-0.001001,0.000104,0.048167,0.022812,0.076637,0.015018,0.003144,0.028690
25,-0.057194,-0.108132,-0.012080,-0.009198,-0.016134,-0.003068,-0.001695,-0.002728,-0.000734,-0.000467,-0.001052,0.000049,0.048660,0.022975,0.078240,0.014153,0.002739,0.027493
26,-0.059569,-0.110775,-0.015038,-0.009386,-0.016475,-0.003158,-0.001713,-0.002769,-0.000746,-0.000482,-0.001075,0.000034,0.049484,0.023571,0.079616,0.014237,0.003012,0.027122
27,-0.061061,-0.113137,-0.016534,-0.009732,-0.017100,-0.003587,-0.001712,-0.002820,-0.000754,-0.000520,-0.001114,0.000016,0.050006,0.023570,0.080778,0.013211,0.002171,0.026079
28,-0.062251,-0.115443,-0.018189,-0.009921,-0.017358,-0.003701,-0.001745,-0.002858,-0.000786,-0.000548,-0.001159,-0.000021,0.050052,0.023701,0.081629,0.013297,0.002250,0.025857
