h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.008424,-0.007963,0.024468,0.004059,0.000107,0.008424,-0.000093,-0.000816,0.000574,-0.000042,-0.000534,0.000454,-0.022955,-0.042552,-0.003870,0.015460,-0.002001,0.032838
2,0.007634,-0.008664,0.024255,0.003408,-0.000919,0.007728,-0.000051,-0.000740,0.000635,0.000071,-0.000440,0.000585,-0.008738,-0.027952,0.010695,-0.004345,-0.021652,0.013724
3,0.009837,-0.007033,0.027469,0.004217,-0.000157,0.008529,0.000027,-0.000688,0.000709,0.000138,-0.000402,0.000657,-0.000668,-0.020204,0.018501,-0.007128,-0.025575,0.010573
4,0.004019,-0.013219,0.021934,0.008312,0.003606,0.012934,-0.000149,-0.000858,0.000563,0.000121,-0.000416,0.000668,0.000032,-0.019706,0.018570,-0.000780,-0.018690,0.017558
5,-0.000696,-0.018310,0.017822,0.001702,-0.002970,0.006535,-0.000378,-0.001102,0.000365,0.000097,-0.000464,0.000637,-0.025261,-0.045921,-0.004768,-0.002001,-0.020584,0.016906
6,-0.000804,-0.018993,0.018438,0.000386,-0.004295,0.005306,-0.000370,-0.001136,0.000368,0.000104,-0.000450,0.000666,-0.017953,-0.037689,0.002775,-0.003254,-0.021616,0.016042
7,-0.005246,-0.025339,0.014275,-0.002382,-0.007110,0.002522,-0.000205,-0.000952,0.000580,0.000084,-0.000453,0.000671,-0.004041,-0.024606,0.016332,-0.002679,-0.021951,0.016545
8,-0.005805,-0.026037,0.013936,-0.004035,-0.008906,0.001127,0.000121,-0.000669,0.000921,0.000113,-0.000464,0.000698,-0.001503,-0.022907,0.019770,0.018909,0.000029,0.037988
9,-0.004837,-0.026063,0.015440,0.000818,-0.004112,0.005794,0.000253,-0.000517,0.001043,0.000093,-0.000471,0.000707,-0.019765,-0.040971,0.001530,-0.011692,-0.031147,0.008039
10,-0.002004,-0.023221,0.019530,0.003724,-0.001535,0.008890,0.000356,-0.000442,0.001190,0.000065,-0.000559,0.000679,-0.024665,-0.047458,-0.002086,-0.017730,-0.037821,0.002496
11,0.000732,-0.019688,0.022827,0.003756,-0.001304,0.008628,0.000516,-0.000316,0.001321,0.000063,-0.000513,0.000697,-0.031046,-0.053601,-0.009404,-0.014235,-0.032679,0.005916
12,-0.005587,-0.027157,0.015263,0.002628,-0.002314,0.007742,0.000578,-0.000218,0.001400,0.000170,-0.000438,0.000768,-0.018003,-0.040469,0.004805,-0.001670,-0.020648,0.016981
13,-0.000338,-0.014896,0.013199,0.002491,-0.000650,0.005637,0.000413,-0.000107,0.000943,0.000207,-0.000176,0.000607,-0.002216,-0.017863,0.012136,-0.000466,-0.009272,0.008985
14,-0.000317,-0.013514,0.013487,0.001923,-0.000914,0.005015,0.000321,-0.000218,0.000859,0.000219,-0.000146,0.000615,-0.004027,-0.020441,0.010655,0.000407,-0.007565,0.008439
15,-0.000024,-0.013171,0.013321,0.001508,-0.001357,0.004616,0.000290,-0.000252,0.000837,0.000212,-0.000174,0.000620,-0.006651,-0.022509,0.008431,-0.001671,-0.009069,0.006151
