h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.053364,0.025281,0.082307,0.001014,-0.003955,0.006080,0.000635,-0.000578,0.001845,-0.000525,-0.001469,0.000401,0.009678,-0.003394,0.022960,0.034943,0.021650,0.048673
2,0.052785,0.021686,0.082448,0.001351,-0.003666,0.006466,0.000441,-0.000787,0.001656,-0.000609,-0.001503,0.000307,0.011569,-0.001356,0.024674,0.038656,0.023063,0.054517
3,0.059546,0.026934,0.093280,0.000403,-0.004757,0.005865,0.000419,-0.000793,0.001672,-0.000678,-0.001605,0.000260,-0.000273,-0.013768,0.013124,0.048559,0.030570,0.065933
4,0.058806,0.023899,0.094632,0.000067,-0.005239,0.005238,0.000320,-0.000993,0.001578,-0.000586,-0.001537,0.000351,0.007132,-0.007430,0.021245,0.049388,0.030694,0.068803
5,0.052349,0.015279,0.091488,-0.000021,-0.005586,0.005500,0.000405,-0.000864,0.001718,-0.000656,-0.001630,0.000300,-0.010002,-0.025240,0.006045,0.051208,0.030179,0.073172
6,0.047298,0.006284,0.087786,-0.003583,-0.009365,0.001942,0.000287,-0.000987,0.001631,-0.000511,-0.001476,0.000459,0.002982,-0.013004,0.019369,0.069014,0.046037,0.091535
7,0.033977,-0.007054,0.076682,-0.001734,-0.007977,0.004223,0.000336,-0.001054,0.001646,-0.000637,-0.001591,0.000394,-0.007996,-0.025017,0.009803,0.029131,0.005054,0.053427
8,0.038064,-0.006040,0.083299,-0.003143,-0.009605,0.003125,0.000048,-0.001351,0.001520,-0.000138,-0.001208,0.000908,-0.005213,-0.022938,0.012332,0.032948,0.008674,0.058339
9,0.030789,-0.015369,0.075069,-0.002637,-0.009215,0.003821,0.000054,-0.001353,0.001497,-0.000240,-0.001366,0.000836,-0.008515,-0.027017,0.009723,0.022685,-0.002535,0.049953
10,0.028443,-0.019292,0.075524,-0.001298,-0.007791,0.005411,0.000210,-0.001260,0.001707,-0.000376,-0.001427,0.000726,-0.024095,-0.043837,-0.003081,0.039231,0.012373,0.065876
11,0.032783,-0.015843,0.080683,-0.004274,-0.011151,0.002490,0.000016,-0.001477,0.001499,-0.000344,-0.001428,0.000731,-0.011525,-0.031244,0.009862,0.015846,-0.010224,0.044844
12,0.027067,-0.024057,0.078229,-0.000929,-0.007923,0.005758,0.000159,-0.001403,0.001647,-0.000359,-0.001475,0.000778,-0.015212,-0.036722,0.006513,-0.009669,-0.037384,0.018537
13,0.029028,-0.012941,0.071793,-0.003180,-0.008395,0.001696,0.000076,-0.000861,0.000968,-0.000721,-0.001359,-0.000124,0.003028,-0.015252,0.021720,0.005456,-0.018607,0.029329
14,0.023921,-0.018882,0.066497,-0.003893,-0.009243,0.001125,0.000027,-0.000926,0.000965,-0.000736,-0.001357,-0.000118,0.006913,-0.012607,0.026672,0.003322,-0.019644,0.026674
15,0.016298,-0.028315,0.060183,-0.004051,-0.009501,0.001388,0.000036,-0.000890,0.001005,-0.000662,-0.001291,-0.000054,0.003013,-0.017497,0.023677,0.002813,-0.020126,0.025796
16,0.011955,-0.033624,0.056221,-0.004088,-0.010041,0.001442,-0.000011,-0.001011,0.000880,-0.000657,-0.001286,-0.000079,0.007637,-0.013308,0.029561,-0.000006,-0.021396,0.022415
17,0.005534,-0.039672,0.051509,-0.003929,-0.009826,0.001821,-0.000134,-0.001111,0.000819,-0.000566,-0.001214,0.000019,0.008387,-0.013609,0.030554,-0.001972,-0.022116,0.019926
18,0.000773,-0.044404,0.047022,-0.004459,-0.010495,0.001162,-0.000217,-0.001160,0.000758,-0.000554,-0.001168,0.000063,0.011513,-0.011085,0.034628,-0.001674,-0.020823,0.018330
19,-0.005284,-0.051945,0.040542,-0.003733,-0.010025,0.002234,-0.000294,-0.001314,0.000650,-0.000484,-0.001113,0.000067,0.011024,-0.012813,0.035363,0.000495,-0.018220,0.018805
20,-0.008436,-0.056543,0.037849,-0.004146,-0.010527,0.002037,-0.000350,-0.001388,0.000599,-0.000424,-0.001047,0.000162,0.013210,-0.011290,0.037880,0.000991,-0.015483,0.018446
21,-0.013555,-0.062749,0.032741,-0.003609,-0.010194,0.002596,-0.000444,-0.001488,0.000493,-0.000350,-0.000987,0.000228,0.014383,-0.010627,0.040963,-0.002826,-0.019344,0.013792
22,-0.015432,-0.065610,0.031315,-0.003294,-0.010072,0.002847,-0.000493,-0.001502,0.000469,-0.000393,-0.001010,0.000164,0.014740,-0.011106,0.041448,0.001702,-0.014031,0.017319
23,-0.016058,-0.065959,0.030310,-0.003727,-0.010528,0.002524,-0.000580,-0.001615,0.000334,-0.000364,-0.000957,0.000171,0.015709,-0.010159,0.043278,0.003647,-0.010892,0.018078
