h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.032506,0.016217,0.048795,0.000753,-0.003850,0.005442,0.000008,-0.000724,0.000760,-0.000683,-0.001204,-0.000153,0.005140,-0.015831,0.025454,0.014983,-0.001887,0.031314
2,0.041248,0.024705,0.058226,-0.002118,-0.006975,0.002461,-0.000213,-0.000990,0.000542,-0.000743,-0.001307,-0.000208,-0.016794,-0.038477,0.004639,0.042168,0.025879,0.059303
3,0.042511,0.023894,0.059755,-0.004757,-0.009618,-0.000208,-0.000409,-0.001162,0.000398,-0.000810,-0.001349,-0.000255,-0.011583,-0.033322,0.010563,0.058065,0.040873,0.075768
4,0.042207,0.023660,0.061792,-0.008954,-0.013891,-0.003921,-0.000340,-0.001137,0.000501,-0.000750,-0.001340,-0.000168,0.014095,-0.008716,0.035898,0.050719,0.032053,0.068787
5,0.044470,0.025242,0.064963,-0.007586,-0.012793,-0.002420,-0.000363,-0.001201,0.000442,-0.000819,-0.001444,-0.000205,0.019182,-0.002237,0.042327,0.059228,0.040014,0.078054
6,0.039515,0.018792,0.061450,-0.009914,-0.015355,-0.004754,-0.000260,-0.001103,0.000533,-0.000810,-0.001404,-0.000224,0.010720,-0.011884,0.032834,0.054531,0.034764,0.074470
7,0.034715,0.013200,0.057263,-0.010509,-0.015837,-0.005038,-0.000280,-0.001127,0.000573,-0.000776,-0.001410,-0.000149,0.003750,-0.019352,0.026997,0.067949,0.048104,0.089045
8,0.038690,0.015964,0.062634,-0.008466,-0.013977,-0.002906,-0.000353,-0.001265,0.000496,-0.000699,-0.001318,-0.000071,0.006724,-0.016981,0.029427,0.032535,0.012483,0.053131
9,0.027635,0.004742,0.053237,-0.012695,-0.018360,-0.007132,-0.000361,-0.001252,0.000525,-0.000578,-0.001246,0.000079,0.034955,0.010924,0.058739,0.037925,0.017502,0.059581
