h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.113955,0.087977,0.139712,-0.002604,-0.007551,0.002271,0.000691,-0.000485,0.001911,-0.000423,-0.001312,0.000503,-0.005289,-0.017718,0.007163,0.014176,0.000145,0.027158
2,0.145841,0.117682,0.174811,-0.006716,-0.011543,-0.001823,0.000442,-0.000787,0.001639,-0.000459,-0.001365,0.000484,-0.012618,-0.026061,0.000129,0.008281,-0.007753,0.023358
3,0.129078,0.096763,0.161077,-0.006389,-0.011660,-0.001410,0.000144,-0.001066,0.001348,-0.000507,-0.001414,0.000405,-0.010379,-0.023627,0.003257,0.030084,0.013975,0.047005
4,0.119519,0.086214,0.153273,-0.005094,-0.010343,0.000205,-0.000052,-0.001263,0.001156,-0.000484,-0.001428,0.000444,-0.012550,-0.026545,0.001073,0.036835,0.018973,0.056341
5,0.102535,0.067582,0.140567,-0.007989,-0.013180,-0.002679,0.000016,-0.001273,0.001272,-0.000565,-0.001537,0.000366,-0.010509,-0.024838,0.003966,0.041718,0.021307,0.061699
6,0.104834,0.065572,0.145245,-0.007095,-0.012644,-0.001632,-0.000089,-0.001320,0.001148,-0.000591,-0.001557,0.000390,-0.018749,-0.034062,-0.003493,0.048835,0.028018,0.071020
7,0.081499,0.040774,0.125083,-0.009648,-0.015620,-0.004093,-0.000107,-0.001350,0.001214,-0.000762,-0.001720,0.000229,-0.028000,-0.044725,-0.011931,0.053268,0.030732,0.076581
8,0.075426,0.032089,0.120531,-0.009895,-0.015631,-0.004026,-0.000061,-0.001423,0.001250,-0.000756,-0.001744,0.000182,-0.021567,-0.039093,-0.004246,0.049221,0.025822,0.074920
9,0.095400,0.052491,0.142961,-0.005175,-0.011386,0.001070,-0.000175,-0.001557,0.001218,-0.000825,-0.001794,0.000198,-0.034450,-0.052488,-0.016677,0.000247,-0.024626,0.026819
