h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.079260,0.064522,0.093998,0.001702,-0.001473,0.004877,-0.000221,-0.000313,-0.000129,0.000023,-0.000003,0.000049,0.008549,0.000241,0.016857,0.017794,0.003288,0.032300
1,0.103996,0.079532,0.128461,-0.000244,-0.004657,0.004170,-0.000409,-0.000587,-0.000230,0.000023,-0.000030,0.000077,0.007966,-0.003299,0.019231,0.040245,0.022583,0.057907
2,0.108729,0.080261,0.137197,-0.001193,-0.006692,0.004305,-0.000504,-0.000796,-0.000212,0.000046,-0.000038,0.000130,0.002459,-0.009197,0.014115,0.031203,0.010976,0.051430
3,0.088660,0.055971,0.121350,0.001592,-0.004898,0.008081,-0.000361,-0.000745,0.000022,0.000101,-0.000008,0.000211,-0.007215,-0.022293,0.007864,0.015289,-0.005671,0.036248
4,0.074310,0.031521,0.117100,0.002308,-0.003855,0.008471,-0.000561,-0.001058,-0.000063,0.000113,-0.000024,0.000251,-0.009674,-0.024972,0.005624,0.035160,0.006671,0.063649
5,0.075685,0.024353,0.127017,0.007141,0.000605,0.013677,-0.000670,-0.001196,-0.000143,0.000150,-0.000013,0.000313,-0.004416,-0.020568,0.011736,0.021236,-0.004344,0.046815
6,0.099837,0.044589,0.155086,0.005250,-0.000709,0.011208,-0.001079,-0.001657,-0.000500,0.000178,-0.000006,0.000361,-0.017247,-0.036176,0.001681,0.034285,0.004615,0.063954
7,0.092186,0.031032,0.153341,-0.002241,-0.009367,0.004885,-0.001203,-0.001890,-0.000515,0.000182,-0.000025,0.000389,-0.022865,-0.041093,-0.004637,0.022890,-0.009566,0.055345
8,0.052405,-0.007823,0.112633,-0.004160,-0.010348,0.002028,-0.001710,-0.002396,-0.001023,0.000191,-0.000040,0.000421,0.005912,-0.014471,0.026294,0.051426,0.025469,0.077384
9,0.005336,-0.050659,0.061330,-0.001023,-0.007719,0.005673,-0.001805,-0.002574,-0.001036,0.000128,-0.000127,0.000384,-0.002947,-0.024391,0.018496,0.024471,-0.005746,0.054687
10,-0.020928,-0.077519,0.035663,-0.004831,-0.011279,0.001618,-0.002479,-0.003168,-0.001790,0.000201,-0.000063,0.000465,0.010073,-0.010688,0.030834,0.052054,0.026653,0.077454
11,-0.040935,-0.101137,0.019268,-0.005068,-0.012233,0.002098,-0.002208,-0.003001,-0.001414,0.000139,-0.000159,0.000437,0.019287,-0.005358,0.043931,0.012868,-0.011747,0.037484
12,-0.037820,-0.094335,0.018694,-0.003131,-0.010187,0.003925,-0.002221,-0.003141,-0.001301,0.000119,-0.000193,0.000431,0.019184,-0.003599,0.041967,-0.008852,-0.041794,0.024089
13,-0.048655,-0.107226,0.009917,-0.002921,-0.010343,0.004502,-0.002584,-0.003495,-0.001672,0.000133,-0.000184,0.000449,0.028082,0.004256,0.051908,-0.012312,-0.050763,0.026138
14,-0.077109,-0.134392,-0.019825,-0.014522,-0.020893,-0.008150,-0.003798,-0.004500,-0.003096,0.000269,-0.000061,0.000599,0.057378,0.035494,0.079262,0.039444,0.015542,0.063345
15,-0.066487,-0.121137,-0.011837,-0.012787,-0.018557,-0.007018,-0.003982,-0.004730,-0.003235,0.000295,-0.000041,0.000631,0.068335,0.045913,0.090757,0.039279,0.009631,0.068927
