h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.087703,0.073471,0.101935,0.001333,-0.002086,0.004752,-0.000181,-0.000283,-0.000078,0.000044,0.000014,0.000074,0.007120,-0.001857,0.016097,0.018226,0.002385,0.034068
1,0.107333,0.081924,0.132741,-0.000879,-0.005382,0.003624,-0.000329,-0.000530,-0.000128,0.000072,0.000010,0.000133,0.008424,-0.003217,0.020064,0.055380,0.036463,0.074297
2,0.115174,0.087275,0.143073,-0.001667,-0.006738,0.003403,-0.000447,-0.000777,-0.000118,0.000120,0.000026,0.000214,0.000872,-0.011449,0.013192,0.039303,0.018970,0.059637
3,0.108094,0.077247,0.138942,0.001634,-0.004354,0.007621,-0.000398,-0.000806,0.000010,0.000193,0.000076,0.000310,-0.011905,-0.026469,0.002659,0.017874,-0.003712,0.039459
4,0.089099,0.048370,0.129829,0.001902,-0.003481,0.007285,-0.000628,-0.001157,-0.000100,0.000227,0.000085,0.000370,-0.012048,-0.027448,0.003352,0.040603,0.009298,0.071908
5,0.083189,0.035210,0.131168,0.004537,-0.001035,0.010110,-0.000689,-0.001238,-0.000139,0.000292,0.000125,0.000459,-0.004573,-0.021786,0.012640,0.027368,0.002977,0.051759
6,0.103298,0.051948,0.154648,0.003110,-0.002130,0.008349,-0.001115,-0.001731,-0.000500,0.000350,0.000168,0.000533,-0.019811,-0.038969,-0.000653,0.047685,0.017983,0.077386
7,0.100891,0.043214,0.158568,-0.005751,-0.011701,0.000198,-0.001337,-0.002020,-0.000654,0.000383,0.000178,0.000588,-0.022590,-0.041167,-0.004014,0.029110,-0.000268,0.058488
8,0.066697,0.006777,0.126618,-0.007681,-0.013835,-0.001527,-0.001850,-0.002565,-0.001134,0.000422,0.000190,0.000654,0.002638,-0.019145,0.024420,0.059005,0.033735,0.084275
9,0.020867,-0.035185,0.076919,-0.003827,-0.010023,0.002370,-0.001890,-0.002665,-0.001115,0.000372,0.000110,0.000635,-0.001855,-0.022656,0.018947,0.038759,0.014519,0.062999
10,-0.001666,-0.060994,0.057663,-0.004895,-0.011263,0.001473,-0.002259,-0.003034,-0.001485,0.000412,0.000131,0.000693,0.003268,-0.018864,0.025401,0.046242,0.021928,0.070557
11,-0.017276,-0.076149,0.041596,-0.003431,-0.010576,0.003715,-0.002090,-0.002914,-0.001265,0.000403,0.000093,0.000713,0.015283,-0.009910,0.040476,0.009907,-0.014554,0.034369
12,-0.009459,-0.067254,0.048337,-0.002441,-0.009332,0.004450,-0.002015,-0.002946,-0.001083,0.000392,0.000071,0.000713,0.021712,-0.001614,0.045039,-0.010675,-0.041536,0.020186
13,-0.019541,-0.080152,0.041069,0.000416,-0.006929,0.007761,-0.002110,-0.003096,-0.001125,0.000396,0.000076,0.000716,0.025691,0.001703,0.049678,-0.026188,-0.066660,0.014284
14,-0.048771,-0.110620,0.013078,-0.011237,-0.017738,-0.004736,-0.003243,-0.004058,-0.002428,0.000519,0.000196,0.000843,0.054879,0.031245,0.078512,0.028468,0.001779,0.055157
15,-0.033436,-0.091432,0.024560,-0.010686,-0.016422,-0.004951,-0.003404,-0.004216,-0.002592,0.000536,0.000213,0.000858,0.064873,0.040904,0.088841,0.032704,0.004361,0.061048
16,-0.026764,-0.089045,0.035518,-0.006943,-0.012137,-0.001748,-0.003384,-0.004195,-0.002572,0.000569,0.000232,0.000905,0.055946,0.030458,0.081434,0.019105,-0.008238,0.046448
17,-0.035553,-0.099309,0.028202,-0.008631,-0.014705,-0.002558,-0.003213,-0.004050,-0.002376,0.000558,0.000204,0.000912,0.059524,0.034409,0.084639,0.005718,-0.019019,0.030455
18,-0.035688,-0.095990,0.024614,-0.011919,-0.018360,-0.005479,-0.003018,-0.003919,-0.002116,0.000564,0.000189,0.000938,0.048545,0.021010,0.076081,-0.010155,-0.030632,0.010322
19,-0.025253,-0.083748,0.033243,-0.015284,-0.022597,-0.007971,-0.002765,-0.003769,-0.001761,0.000569,0.000178,0.000961,0.055725,0.025763,0.085688,0.003091,-0.020735,0.026917
20,-0.039590,-0.093328,0.014148,-0.014601,-0.021694,-0.007509,-0.002671,-0.003728,-0.001614,0.000613,0.000198,0.001027,0.073030,0.043100,0.102961,-0.001504,-0.025865,0.022858
21,-0.047291,-0.096862,0.002279,-0.016128,-0.023567,-0.008688,-0.002614,-0.003623,-0.001605,0.000622,0.000207,0.001037,0.059332,0.028956,0.089707,-0.015345,-0.041791,0.011101
22,-0.013442,-0.064266,0.037382,-0.017812,-0.024435,-0.011190,-0.002754,-0.003671,-0.001837,0.000633,0.000216,0.001049,0.053782,0.026389,0.081176,0.002725,-0.024411,0.029861
23,0.002926,-0.047161,0.053013,-0.018557,-0.025473,-0.011640,-0.002517,-0.003480,-0.001555,0.000614,0.000204,0.001023,0.056221,0.028884,0.083558,0.007727,-0.021399,0.036853
24,-0.012670,-0.058350,0.033011,-0.018820,-0.025883,-0.011757,-0.002700,-0.003591,-0.001810,0.000642,0.000246,0.001038,0.061754,0.038766,0.084743,0.010904,-0.019010,0.040818
25,-0.011484,-0.056306,0.033337,-0.018267,-0.024735,-0.011800,-0.002887,-0.003777,-0.001997,0.000698,0.000318,0.001077,0.047194,0.019593,0.074795,0.011001,-0.018912,0.040915
26,-0.000655,-0.055974,0.054663,-0.023499,-0.030798,-0.016199,-0.003471,-0.004297,-0.002645,0.000754,0.000387,0.001121,0.068440,0.049264,0.087617,0.033687,-0.001689,0.069064
27,-0.032905,-0.088087,0.022278,-0.026797,-0.035288,-0.018306,-0.003680,-0.004636,-0.002724,0.000705,0.000348,0.001062,0.081218,0.052725,0.109710,0.003191,-0.032423,0.038805
28,-0.076269,-0.126424,-0.026113,-0.030930,-0.038489,-0.023371,-0.003764,-0.004705,-0.002824,0.000605,0.000252,0.000957,0.089189,0.060944,0.117433,0.060032,0.023312,0.096752
29,-0.104892,-0.153683,-0.056101,-0.030026,-0.036245,-0.023808,-0.003420,-0.004303,-0.002536,0.000472,0.000127,0.000817,0.078889,0.047213,0.110564,0.018837,-0.002686,0.040361
30,-0.122363,-0.169784,-0.074942,-0.028878,-0.034618,-0.023138,-0.003106,-0.003984,-0.002228,0.000376,0.000036,0.000716,0.078679,0.049642,0.107716,0.022289,0.001579,0.042998
31,-0.120660,-0.174045,-0.067274,-0.027859,-0.035284,-0.020433,-0.002843,-0.003856,-0.001831,0.000302,-0.000035,0.000639,0.096151,0.069550,0.122752,-0.001476,-0.023949,0.020996
32,-0.150066,-0.207988,-0.092145,-0.029762,-0.037451,-0.022073,-0.003019,-0.004048,-0.001990,0.000246,-0.000087,0.000579,0.090713,0.064448,0.116978,0.002911,-0.018561,0.024383
33,-0.136050,-0.184984,-0.087116,-0.031234,-0.039763,-0.022705,-0.003486,-0.004620,-0.002352,0.000159,-0.000183,0.000501,0.088240,0.058282,0.118199,-0.012843,-0.047291,0.021606
