h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.001702,-0.002854,0.006259,-0.005984,-0.010869,-0.001098,-0.000010,-0.000100,0.000081,-0.000013,-0.000063,0.000036,0.043267,0.025132,0.061402,-0.025254,-0.043214,-0.007293
1,-0.002120,-0.009626,0.005387,-0.008777,-0.014122,-0.003432,-0.000209,-0.000381,-0.000037,-0.000072,-0.000164,0.000021,0.033865,0.016554,0.051176,-0.003922,-0.026399,0.018554
2,-0.003195,-0.013954,0.007565,-0.008907,-0.014213,-0.003601,-0.000329,-0.000595,-0.000063,-0.000147,-0.000287,-0.000006,0.027711,0.006946,0.048476,0.017968,-0.002332,0.038267
3,-0.000721,-0.013691,0.012250,-0.006659,-0.012692,-0.000627,-0.000287,-0.000600,0.000027,-0.000134,-0.000290,0.000022,0.015582,0.001758,0.029406,-0.001182,-0.024255,0.021892
4,0.005824,-0.011067,0.022715,-0.008797,-0.013456,-0.004138,0.000027,-0.000408,0.000461,-0.000110,-0.000278,0.000059,-0.003184,-0.019749,0.013380,-0.001518,-0.024097,0.021062
5,0.007181,-0.012312,0.026674,-0.004034,-0.009910,0.001843,0.000375,-0.000150,0.000900,-0.000077,-0.000233,0.000080,0.020412,0.008092,0.032732,0.010547,-0.008567,0.029661
6,0.007121,-0.013512,0.027755,-0.000679,-0.006677,0.005320,0.000352,-0.000283,0.000987,-0.000110,-0.000298,0.000079,0.015750,0.001873,0.029627,0.016712,-0.003133,0.036556
7,0.014653,-0.008655,0.037960,0.003750,-0.000864,0.008365,0.000075,-0.000526,0.000675,-0.000133,-0.000371,0.000104,0.004912,-0.005889,0.015714,0.018188,-0.004903,0.041280
8,0.010636,-0.011713,0.032985,0.006841,-0.002034,0.015716,-0.000411,-0.000993,0.000171,-0.000199,-0.000520,0.000122,0.015375,-0.000039,0.030788,0.013163,-0.010235,0.036560
9,0.009806,-0.010990,0.030602,-0.001265,-0.006936,0.004406,-0.000629,-0.001152,-0.000105,-0.000284,-0.000642,0.000074,0.024921,0.013006,0.036835,0.032077,0.002096,0.062059
10,0.006520,-0.012313,0.025354,-0.009556,-0.013231,-0.005882,-0.000786,-0.001223,-0.000349,-0.000333,-0.000687,0.000021,0.016748,-0.004954,0.038449,0.043122,0.012874,0.073370
11,0.002926,-0.015697,0.021549,-0.010844,-0.014078,-0.007611,-0.000849,-0.001279,-0.000419,-0.000341,-0.000671,-0.000011,0.036723,0.016444,0.057002,0.027798,-0.001294,0.056889
12,0.003565,-0.013569,0.020698,-0.010908,-0.016437,-0.005378,-0.000937,-0.001373,-0.000501,-0.000275,-0.000573,0.000023,0.043694,0.019744,0.067644,0.034986,0.013338,0.056634
13,0.002829,-0.017484,0.023142,-0.005514,-0.010840,-0.000188,-0.000916,-0.001385,-0.000447,-0.000133,-0.000428,0.000163,0.023926,0.014750,0.033102,0.027175,0.006138,0.048213
14,-0.000207,-0.021641,0.021226,-0.003218,-0.007797,0.001360,-0.000857,-0.001234,-0.000481,0.000116,-0.000195,0.000426,0.030931,0.018196,0.043666,0.000301,-0.021092,0.021694
15,0.004333,-0.018197,0.026864,-0.000209,-0.005760,0.005342,-0.000746,-0.001074,-0.000418,0.000268,-0.000055,0.000591,0.021882,0.012043,0.031721,-0.017915,-0.034099,-0.001730
16,-0.001879,-0.024339,0.020581,-0.003440,-0.007233,0.000352,-0.000613,-0.000902,-0.000325,0.000457,0.000136,0.000778,0.015208,-0.000523,0.030940,-0.048543,-0.068487,-0.028599
17,-0.015748,-0.039403,0.007906,0.002673,-0.002539,0.007886,-0.000583,-0.000922,-0.000245,0.000398,0.000061,0.000736,0.022418,0.009995,0.034840,-0.058235,-0.074891,-0.041578
18,-0.012411,-0.033576,0.008754,0.001263,-0.004060,0.006586,-0.000525,-0.000839,-0.000210,0.000345,-0.000030,0.000720,-0.001316,-0.019098,0.016466,-0.008418,-0.032332,0.015496
19,-0.009485,-0.029030,0.010059,-0.002671,-0.008290,0.002948,-0.000313,-0.000667,0.000041,0.000308,-0.000032,0.000649,0.023084,0.010596,0.035573,-0.017164,-0.042683,0.008355
20,-0.025508,-0.043683,-0.007332,-0.000392,-0.002624,0.001841,-0.000377,-0.000766,0.000012,0.000132,-0.000142,0.000406,0.017573,0.005462,0.029684,-0.024032,-0.048566,0.000501
21,-0.021966,-0.040459,-0.003473,0.000523,-0.003975,0.005021,-0.000469,-0.000927,-0.000012,0.000121,-0.000136,0.000378,0.018554,0.004176,0.032932,-0.045541,-0.071441,-0.019642
22,-0.022522,-0.042622,-0.002421,0.002923,-0.001788,0.007635,-0.000625,-0.001128,-0.000122,0.000133,-0.000130,0.000396,-0.014897,-0.035007,0.005212,-0.061324,-0.082258,-0.040390
23,-0.019914,-0.038856,-0.000972,0.009702,0.003696,0.015708,-0.000455,-0.000978,0.000067,0.000093,-0.000190,0.000375,-0.008291,-0.027024,0.010441,-0.052398,-0.065377,-0.039419
24,-0.017822,-0.041146,0.005501,0.004586,0.001413,0.007759,-0.000190,-0.000664,0.000283,0.000021,-0.000243,0.000285,-0.004011,-0.025073,0.017052,-0.032922,-0.048334,-0.017510
25,-0.022897,-0.043340,-0.002454,0.001642,-0.006282,0.009566,0.000288,-0.000152,0.000728,0.000003,-0.000280,0.000286,0.018051,0.000028,0.036074,-0.028820,-0.041123,-0.016518
26,-0.020070,-0.045938,0.005798,0.006560,0.001303,0.011817,0.000457,0.000063,0.000851,0.000167,-0.000131,0.000465,0.015123,-0.011792,0.042038,-0.002395,-0.021508,0.016717
27,-0.004405,-0.027032,0.018222,0.005524,-0.002249,0.013298,0.000377,0.000041,0.000713,0.000260,-0.000004,0.000524,0.001273,-0.012898,0.015444,-0.018842,-0.041520,0.003836
28,-0.019679,-0.038736,-0.000622,0.004740,0.001312,0.008167,0.000062,-0.000200,0.000324,0.000380,0.000083,0.000677,-0.015149,-0.034762,0.004463,-0.029778,-0.044322,-0.015234
