h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.032980,0.016093,0.049866,0.000684,-0.002995,0.004363,0.000022,-0.000073,0.000117,-0.000007,-0.000028,0.000014,0.000095,-0.008171,0.008362,-0.000137,-0.014945,0.014671
1,0.026947,0.006731,0.047164,0.000619,-0.003338,0.004576,0.000027,-0.000159,0.000214,0.000006,-0.000039,0.000051,-0.002057,-0.011710,0.007597,0.034009,0.016555,0.051462
2,0.031563,0.007117,0.056009,0.000441,-0.003533,0.004415,-0.000001,-0.000297,0.000294,-0.000008,-0.000087,0.000071,-0.002344,-0.013114,0.008427,0.031306,0.008794,0.053819
3,0.068310,0.033837,0.102784,0.002117,-0.002674,0.006909,0.000206,-0.000122,0.000533,0.000071,-0.000033,0.000175,-0.013065,-0.026033,-0.000097,0.026791,0.005059,0.048524
4,0.096248,0.056361,0.136135,0.000474,-0.004056,0.005004,0.000014,-0.000411,0.000438,0.000142,0.000000,0.000283,-0.008746,-0.021530,0.004037,0.032357,0.001978,0.062735
5,0.111687,0.065766,0.157607,0.002107,-0.003440,0.007653,0.000718,0.000182,0.001255,0.000247,0.000092,0.000402,-0.032272,-0.045780,-0.018764,0.007506,-0.028296,0.043308
6,0.123239,0.078226,0.168253,-0.003555,-0.009528,0.002418,0.000461,-0.000116,0.001039,0.000347,0.000187,0.000506,-0.014443,-0.028374,-0.000513,0.042420,0.005439,0.079400
7,0.104505,0.058359,0.150651,-0.000195,-0.006750,0.006361,0.000738,0.000006,0.001471,0.000326,0.000137,0.000514,-0.026203,-0.042640,-0.009765,-0.020046,-0.071141,0.031050
8,0.097935,0.048008,0.147862,-0.007062,-0.014075,-0.000049,-0.000241,-0.000895,0.000413,0.000558,0.000351,0.000765,-0.022347,-0.038816,-0.005877,0.034505,-0.002837,0.071847
9,0.086727,0.035310,0.138143,-0.005758,-0.013540,0.002024,-0.000139,-0.000804,0.000527,0.000504,0.000256,0.000753,-0.013326,-0.030725,0.004073,0.030770,-0.004681,0.066221
10,0.071389,0.020665,0.122114,0.000689,-0.007371,0.008748,0.000461,-0.000450,0.001371,0.000382,0.000078,0.000685,-0.055262,-0.077708,-0.032815,0.016875,-0.030064,0.063814
11,0.079645,0.031673,0.127618,-0.002977,-0.010195,0.004241,0.000048,-0.000912,0.001007,0.000471,0.000173,0.000769,-0.044220,-0.065184,-0.023255,0.017250,-0.021490,0.055989
12,0.088072,0.040407,0.135736,-0.001732,-0.007769,0.004305,-0.000349,-0.001292,0.000594,0.000557,0.000250,0.000865,-0.036814,-0.055100,-0.018529,-0.007937,-0.040905,0.025032
13,0.071404,0.018978,0.123830,-0.000895,-0.006692,0.004903,-0.000655,-0.001629,0.000318,0.000613,0.000298,0.000929,-0.043464,-0.062006,-0.024922,0.005790,-0.028151,0.039730
14,0.035805,-0.024470,0.096081,-0.005012,-0.011897,0.001873,-0.001154,-0.002106,-0.000203,0.000625,0.000293,0.000956,-0.019543,-0.038186,-0.000901,-0.020056,-0.056966,0.016854
15,0.025127,-0.042897,0.093150,-0.006386,-0.012594,-0.000177,-0.001703,-0.002679,-0.000726,0.000603,0.000255,0.000951,-0.004690,-0.027264,0.017883,-0.009612,-0.042428,0.023204
16,-0.022468,-0.094858,0.049922,-0.007262,-0.013800,-0.000725,-0.001761,-0.002818,-0.000705,0.000559,0.000199,0.000920,0.009417,-0.016809,0.035644,-0.013637,-0.042777,0.015504
17,-0.026132,-0.098314,0.046051,-0.004417,-0.010822,0.001988,-0.001502,-0.002587,-0.000418,0.000567,0.000192,0.000943,0.037242,0.010429,0.064054,-0.037962,-0.056100,-0.019825
18,-0.024029,-0.089953,0.041896,0.002742,-0.002909,0.008393,-0.001344,-0.002456,-0.000232,0.000501,0.000097,0.000904,0.035636,0.006921,0.064352,-0.071814,-0.094190,-0.049437
19,-0.021786,-0.088266,0.044694,0.005023,-0.001822,0.011869,-0.001286,-0.002449,-0.000122,0.000411,-0.000012,0.000835,0.037948,0.006008,0.069889,-0.026792,-0.053598,0.000014
20,-0.003543,-0.068511,0.061426,0.005227,-0.001795,0.012249,-0.001161,-0.002282,-0.000040,0.000311,-0.000123,0.000745,0.034690,0.000387,0.068994,-0.014298,-0.036742,0.008147
21,-0.009227,-0.076647,0.058192,0.009479,0.001980,0.016979,-0.001101,-0.002183,-0.000019,0.000256,-0.000186,0.000697,0.024476,-0.013972,0.062924,-0.052920,-0.077072,-0.028768
22,-0.012158,-0.083031,0.058715,0.011981,0.002980,0.020981,-0.000619,-0.001640,0.000403,0.000144,-0.000303,0.000592,0.025618,-0.014516,0.065753,-0.061043,-0.082123,-0.039964
23,-0.002974,-0.076930,0.070983,0.011227,0.003539,0.018914,-0.000313,-0.001405,0.000778,0.000113,-0.000336,0.000563,0.006722,-0.034002,0.047445,-0.071339,-0.095183,-0.047495
24,-0.041999,-0.105728,0.021729,0.005460,-0.003533,0.014454,-0.000528,-0.001415,0.000358,0.000197,-0.000255,0.000649,0.031343,-0.008075,0.070760,-0.026120,-0.056821,0.004581
