h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.019892,0.009926,0.029858,0.004070,-0.000051,0.008192,0.000003,-0.000088,0.000095,-0.000065,-0.000110,-0.000019,0.015895,0.002719,0.029070,0.002767,-0.020457,0.025991
1,0.026310,0.016104,0.036515,0.005649,0.001064,0.010234,-0.000166,-0.000367,0.000035,-0.000235,-0.000341,-0.000129,0.011366,-0.003885,0.026617,0.012583,-0.000344,0.025510
2,0.025405,0.012976,0.037835,-0.002804,-0.007314,0.001706,-0.000347,-0.000632,-0.000061,-0.000338,-0.000522,-0.000153,-0.023791,-0.039112,-0.008470,0.058163,0.039321,0.077006
3,0.018143,0.004733,0.031554,-0.006923,-0.010896,-0.002950,-0.000537,-0.000907,-0.000168,-0.000395,-0.000645,-0.000144,-0.007086,-0.027790,0.013618,0.091749,0.072643,0.110856
4,0.028802,0.014716,0.042888,-0.010540,-0.014732,-0.006349,-0.000805,-0.001289,-0.000321,-0.000453,-0.000739,-0.000167,0.032770,0.016847,0.048693,0.073757,0.045996,0.101518
5,0.019197,0.001110,0.037283,-0.013102,-0.020237,-0.005968,-0.000714,-0.001268,-0.000160,-0.000418,-0.000736,-0.000100,0.024571,0.011081,0.038061,0.080761,0.053068,0.108455
6,0.012829,-0.008008,0.033667,-0.015777,-0.021254,-0.010301,-0.000899,-0.001517,-0.000281,-0.000569,-0.000920,-0.000219,0.010336,-0.006433,0.027106,0.090213,0.063087,0.117339
7,0.006481,-0.017264,0.030226,-0.021059,-0.027938,-0.014180,-0.001374,-0.001948,-0.000799,-0.001031,-0.001342,-0.000719,0.014007,0.000841,0.027173,0.128184,0.102446,0.153922
8,0.004271,-0.019109,0.027652,-0.018914,-0.024643,-0.013185,-0.001382,-0.001893,-0.000871,-0.001145,-0.001477,-0.000813,0.022912,0.014230,0.031594,0.079765,0.047661,0.111870
9,-0.015055,-0.038673,0.008564,-0.023552,-0.030026,-0.017077,-0.001341,-0.001849,-0.000833,-0.001270,-0.001642,-0.000897,0.048700,0.028582,0.068818,0.073962,0.051119,0.096805
10,-0.021384,-0.048913,0.006145,-0.018548,-0.024979,-0.012117,-0.001193,-0.001735,-0.000651,-0.001215,-0.001636,-0.000794,0.024844,0.004944,0.044745,0.084318,0.054073,0.114563
11,-0.027260,-0.054861,0.000340,-0.017284,-0.023693,-0.010875,-0.001299,-0.001859,-0.000739,-0.001156,-0.001593,-0.000719,0.077271,0.060097,0.094445,0.026656,-0.000412,0.053725
12,-0.025359,-0.055419,0.004701,-0.021994,-0.026095,-0.017892,-0.001366,-0.001900,-0.000832,-0.001066,-0.001490,-0.000641,0.061474,0.042323,0.080625,0.015605,-0.002249,0.033458
13,-0.047716,-0.079909,-0.015524,-0.016163,-0.021212,-0.011114,-0.001531,-0.001963,-0.001100,-0.001083,-0.001496,-0.000670,0.065152,0.048979,0.081325,0.027209,-0.000590,0.055009
14,-0.052117,-0.088317,-0.015917,-0.011919,-0.018762,-0.005076,-0.001602,-0.001910,-0.001293,-0.001010,-0.001380,-0.000639,0.070690,0.053226,0.088153,0.003496,-0.020981,0.027972
15,-0.066989,-0.107427,-0.026550,-0.014556,-0.019594,-0.009518,-0.001918,-0.002188,-0.001648,-0.001009,-0.001339,-0.000679,0.070847,0.045911,0.095783,-0.026203,-0.058165,0.005758
16,-0.064401,-0.105293,-0.023509,-0.006317,-0.011441,-0.001193,-0.001891,-0.002254,-0.001528,-0.000848,-0.001209,-0.000487,0.044560,0.018897,0.070223,-0.080870,-0.118644,-0.043095
17,-0.081843,-0.119510,-0.044175,-0.002853,-0.009518,0.003812,-0.002071,-0.002481,-0.001660,-0.000889,-0.001245,-0.000533,0.049751,0.032210,0.067292,-0.055755,-0.081308,-0.030201
18,-0.081979,-0.120467,-0.043490,-0.005819,-0.009278,-0.002359,-0.002076,-0.002472,-0.001680,-0.000955,-0.001330,-0.000580,0.055517,0.029934,0.081100,-0.033394,-0.051483,-0.015304
19,-0.084374,-0.131608,-0.037141,-0.001145,-0.005269,0.002979,-0.002112,-0.002567,-0.001657,-0.000992,-0.001387,-0.000598,0.059187,0.034783,0.083592,-0.031069,-0.060273,-0.001865
20,-0.089497,-0.132059,-0.046935,-0.005384,-0.009683,-0.001086,-0.001882,-0.002351,-0.001413,-0.000883,-0.001360,-0.000405,0.056002,0.038794,0.073211,-0.045637,-0.063969,-0.027304
21,-0.093856,-0.132011,-0.055700,0.003071,-0.000945,0.007087,-0.001829,-0.002304,-0.001354,-0.000872,-0.001406,-0.000337,0.075618,0.057717,0.093520,-0.024550,-0.045859,-0.003241
22,-0.099046,-0.147369,-0.050724,-0.011240,-0.015434,-0.007046,-0.001557,-0.002051,-0.001063,-0.000574,-0.001201,0.000052,0.054857,0.034943,0.074771,-0.093554,-0.121643,-0.065465
23,-0.106111,-0.149273,-0.062948,-0.004090,-0.008240,0.000059,-0.001418,-0.001906,-0.000930,-0.000559,-0.001282,0.000164,0.051408,0.033534,0.069281,-0.083673,-0.121291,-0.046055
24,-0.100297,-0.140372,-0.060222,0.004551,-0.000537,0.009638,-0.001277,-0.001817,-0.000737,-0.000449,-0.001280,0.000382,0.045987,0.032767,0.059208,-0.064167,-0.106124,-0.022210
25,-0.091628,-0.137614,-0.045642,0.003205,-0.002999,0.009409,-0.000782,-0.001464,-0.000100,-0.000209,-0.001036,0.000619,0.042592,0.031950,0.053233,-0.067033,-0.104350,-0.029715
26,-0.059616,-0.103100,-0.016131,0.014386,0.008423,0.020348,0.000001,-0.000506,0.000507,0.000198,-0.000508,0.000905,0.031012,0.016363,0.045661,-0.042187,-0.086715,0.002340
27,-0.040477,-0.085839,0.004886,0.011955,0.007073,0.016836,0.000455,0.000061,0.000849,0.000493,-0.000168,0.001154,0.006948,-0.010624,0.024521,-0.071218,-0.099436,-0.043000
28,-0.035258,-0.066129,-0.004386,0.011671,0.004522,0.018819,0.000322,0.000028,0.000617,0.000515,-0.000079,0.001108,-0.000031,-0.009418,0.009356,-0.070585,-0.110466,-0.030705
29,-0.035294,-0.069598,-0.000990,0.016016,0.007452,0.024580,0.000435,0.000272,0.000599,0.000821,0.000275,0.001367,-0.016758,-0.027998,-0.005518,-0.081177,-0.116800,-0.045554
30,-0.009496,-0.032156,0.013165,0.009957,0.002923,0.016992,0.000535,0.000382,0.000688,0.000902,0.000369,0.001434,-0.018224,-0.027370,-0.009078,-0.078720,-0.103666,-0.053774
31,-0.001906,-0.029328,0.025517,0.014859,0.008092,0.021626,0.000783,0.000572,0.000995,0.000659,0.000062,0.001256,0.011925,-0.011422,0.035273,-0.047362,-0.079625,-0.015099
32,0.022246,0.005767,0.038725,0.003838,-0.004257,0.011932,0.001051,0.000717,0.001386,0.000940,0.000317,0.001562,-0.013348,-0.034921,0.008225,0.024675,-0.021031,0.070381
33,0.016907,-0.001238,0.035052,0.002761,-0.004833,0.010355,0.001093,0.000835,0.001351,0.000907,0.000289,0.001525,-0.047499,-0.065040,-0.029958,0.003138,-0.028233,0.034509
34,0.046173,0.031534,0.060811,0.017027,0.014250,0.019803,0.000703,0.000493,0.000913,0.001176,0.000642,0.001710,-0.036406,-0.051454,-0.021357,-0.013324,-0.047087,0.020439
35,0.056644,0.034751,0.078536,0.015145,0.011747,0.018542,0.000417,0.000038,0.000796,0.001132,0.000560,0.001704,-0.058853,-0.073702,-0.044004,-0.005587,-0.047461,0.036286
36,0.041710,0.014570,0.068849,0.008874,0.005172,0.012577,0.000495,-0.000152,0.001143,0.001078,0.000583,0.001573,-0.046524,-0.064852,-0.028196,-0.020578,-0.058101,0.016944
37,0.044029,0.019472,0.068585,0.005528,-0.001482,0.012538,0.000827,-0.000006,0.001660,0.000863,0.000443,0.001283,-0.020649,-0.045700,0.004402,-0.015711,-0.038014,0.006592
