h,y1_b,y1_lo,y1_hi,log_sp500_b,log_sp500_lo,log_sp500_hi,log_rgdp_b,log_rgdp_lo,log_rgdp_hi,log_pgdp_b,log_pgdp_lo,log_pgdp_hi,unemp_b,unemp_lo,unemp_hi,EBP_b,EBP_lo,EBP_hi
0,0.047702,0.037482,0.057921,0.001073,-0.001238,0.003383,-0.000112,-0.000208,-0.000017,0.000045,0.000024,0.000067,-0.007033,-0.014863,0.000797,0.005042,-0.006287,0.016371
1,0.120167,0.101630,0.138704,-0.003569,-0.007408,0.000270,-0.000334,-0.000539,-0.000128,0.000093,0.000043,0.000143,-0.005290,-0.014858,0.004278,0.017102,-0.000604,0.034808
2,0.151217,0.128079,0.174356,-0.008880,-0.013978,-0.003782,-0.000670,-0.001006,-0.000334,0.000140,0.000064,0.000215,-0.013573,-0.026252,-0.000894,0.008638,-0.012485,0.029761
3,0.126713,0.098915,0.154512,-0.009044,-0.014071,-0.004018,-0.000924,-0.001321,-0.000527,0.000197,0.000101,0.000294,-0.008808,-0.024798,0.007181,0.033506,0.011858,0.055154
4,0.125201,0.093265,0.157137,-0.009153,-0.014348,-0.003958,-0.001124,-0.001666,-0.000582,0.000211,0.000100,0.000322,0.002243,-0.016373,0.020859,0.037605,0.006285,0.068926
5,0.134144,0.096166,0.172122,-0.006226,-0.011568,-0.000883,-0.001002,-0.001571,-0.000433,0.000226,0.000089,0.000363,-0.000067,-0.016459,0.016324,0.019359,-0.009065,0.047783
6,0.140745,0.099172,0.182319,-0.006430,-0.012250,-0.000610,-0.001129,-0.001808,-0.000451,0.000187,0.000028,0.000347,-0.013473,-0.033387,0.006442,0.032967,-0.002069,0.068004
7,0.121210,0.074544,0.167876,-0.010537,-0.017451,-0.003623,-0.000646,-0.001281,-0.000010,0.000124,-0.000057,0.000306,-0.030551,-0.049196,-0.011907,0.015199,-0.008562,0.038961
8,0.107974,0.058449,0.157499,-0.009653,-0.016398,-0.002908,-0.000567,-0.001267,0.000133,0.000094,-0.000109,0.000298,-0.021648,-0.040199,-0.003098,-0.002108,-0.028033,0.023818
9,0.125087,0.073387,0.176788,-0.002351,-0.010750,0.006049,-0.000501,-0.001392,0.000389,0.000071,-0.000163,0.000306,-0.040746,-0.062305,-0.019187,-0.055919,-0.099903,-0.011935
10,0.123977,0.074123,0.173831,-0.007105,-0.015054,0.000844,-0.001450,-0.002187,-0.000712,0.000207,-0.000037,0.000451,-0.017681,-0.035233,-0.000128,-0.007370,-0.034393,0.019653
11,0.113824,0.071422,0.156226,-0.008303,-0.015662,-0.000945,-0.001582,-0.002388,-0.000775,0.000195,-0.000076,0.000466,-0.028429,-0.048165,-0.008693,-0.006317,-0.041190,0.028556
12,0.092034,0.052463,0.131606,-0.009405,-0.015886,-0.002923,-0.001780,-0.002639,-0.000921,0.000190,-0.000089,0.000470,-0.020465,-0.040496,-0.000435,0.011066,-0.025090,0.047223
13,0.058856,0.016321,0.101392,-0.012557,-0.017922,-0.007192,-0.002293,-0.003067,-0.001520,0.000196,-0.000103,0.000494,-0.002216,-0.021076,0.016643,0.000862,-0.029732,0.031456
14,0.007241,-0.035307,0.049790,-0.011936,-0.017709,-0.006163,-0.002506,-0.003275,-0.001738,0.000184,-0.000130,0.000497,0.011652,-0.007542,0.030846,0.002900,-0.035290,0.041091
15,-0.016963,-0.061258,0.027332,-0.010593,-0.016048,-0.005138,-0.002941,-0.003663,-0.002218,0.000175,-0.000167,0.000517,0.031215,0.014298,0.048132,0.020680,-0.006228,0.047588
16,-0.013462,-0.056618,0.029694,-0.009245,-0.015123,-0.003368,-0.002875,-0.003596,-0.002154,0.000164,-0.000200,0.000529,0.038166,0.020297,0.056035,0.004742,-0.024624,0.034108
17,-0.024984,-0.065979,0.016011,-0.006116,-0.011917,-0.000314,-0.002706,-0.003445,-0.001968,0.000110,-0.000275,0.000496,0.056147,0.040451,0.071843,0.004451,-0.015984,0.024886
18,-0.035776,-0.071942,0.000391,-0.005387,-0.010734,-0.000041,-0.002802,-0.003618,-0.001987,0.000044,-0.000372,0.000460,0.056448,0.040369,0.072526,0.000780,-0.034159,0.035720
19,-0.024822,-0.058376,0.008731,-0.004385,-0.010366,0.001597,-0.002866,-0.003735,-0.001997,-0.000015,-0.000459,0.000430,0.047513,0.031176,0.063851,0.017093,-0.018164,0.052350
20,-0.033891,-0.062717,-0.005066,-0.001821,-0.007850,0.004208,-0.002458,-0.003338,-0.001578,-0.000166,-0.000625,0.000294,0.057181,0.038062,0.076300,-0.018882,-0.053793,0.016029
21,-0.052224,-0.082075,-0.022374,0.001299,-0.005479,0.008077,-0.002252,-0.003111,-0.001393,-0.000269,-0.000721,0.000182,0.036940,0.016436,0.057444,-0.015028,-0.042529,0.012474
22,-0.044405,-0.078900,-0.009909,0.002168,-0.005080,0.009415,-0.001981,-0.002882,-0.001079,-0.000385,-0.000832,0.000061,0.046180,0.024035,0.068326,-0.013808,-0.041054,0.013438
23,-0.071254,-0.109252,-0.033256,-0.000792,-0.007406,0.005823,-0.001854,-0.002722,-0.000987,-0.000462,-0.000905,-0.000020,0.051793,0.028977,0.074608,-0.001354,-0.022015,0.019308
24,-0.091590,-0.127895,-0.055285,-0.006972,-0.013270,-0.000674,-0.002049,-0.002907,-0.001192,-0.000429,-0.000873,0.000015,0.060692,0.043200,0.078184,-0.005629,-0.028118,0.016860
25,-0.102446,-0.138756,-0.066137,-0.004472,-0.011187,0.002242,-0.002303,-0.003186,-0.001420,-0.000378,-0.000846,0.000091,0.061211,0.039889,0.082534,0.018593,-0.003609,0.040795
26,-0.107921,-0.143541,-0.072301,-0.003314,-0.010088,0.003460,-0.002225,-0.003009,-0.001440,-0.000412,-0.000868,0.000044,0.075210,0.056253,0.094167,0.037386,0.009744,0.065028
27,-0.115330,-0.150633,-0.080028,-0.002035,-0.008553,0.004484,-0.002113,-0.002843,-0.001383,-0.000473,-0.000948,0.000001,0.068308,0.048823,0.087793,0.005861,-0.016339,0.028061
28,-0.108936,-0.144364,-0.073508,-0.002709,-0.009193,0.003775,-0.002069,-0.002821,-0.001318,-0.000541,-0.001017,-0.000065,0.066219,0.046060,0.086379,0.035103,0.007605,0.062601
29,-0.121444,-0.160075,-0.082813,-0.003220,-0.010081,0.003641,-0.002006,-0.002786,-0.001226,-0.000638,-0.001111,-0.000166,0.053828,0.034449,0.073207,0.021974,-0.001647,0.045594
30,-0.137401,-0.174586,-0.100216,-0.006944,-0.012635,-0.001254,-0.001867,-0.002649,-0.001085,-0.000713,-0.001173,-0.000252,0.058679,0.035350,0.082008,0.025319,-0.002359,0.052997
31,-0.132088,-0.172830,-0.091345,-0.005284,-0.011335,0.000766,-0.001640,-0.002421,-0.000859,-0.000747,-0.001198,-0.000297,0.050756,0.028759,0.072752,0.018650,-0.002276,0.039576
32,-0.148012,-0.192726,-0.103297,-0.002427,-0.008836,0.003982,-0.001289,-0.002076,-0.000501,-0.000767,-0.001219,-0.000315,0.050711,0.026656,0.074766,0.022237,-0.001066,0.045539
33,-0.164425,-0.205170,-0.123679,-0.003125,-0.010661,0.004411,-0.001198,-0.001937,-0.000459,-0.000761,-0.001214,-0.000307,0.058320,0.035066,0.081574,0.003814,-0.016890,0.024518
34,-0.133449,-0.173393,-0.093506,-0.004312,-0.011780,0.003156,-0.000970,-0.001821,-0.000120,-0.000772,-0.001229,-0.000315,0.044441,0.023425,0.065457,0.001471,-0.020742,0.023684
35,-0.121421,-0.162544,-0.080298,-0.007425,-0.014907,0.000058,-0.001096,-0.001905,-0.000288,-0.000775,-0.001232,-0.000318,0.054127,0.030850,0.077404,0.002199,-0.021718,0.026116
36,-0.127627,-0.171520,-0.083735,-0.008861,-0.015737,-0.001984,-0.001196,-0.002042,-0.000351,-0.000778,-0.001247,-0.000309,0.045063,0.019152,0.070974,0.001762,-0.023658,0.027182
37,-0.139785,-0.190515,-0.089054,-0.010032,-0.016867,-0.003197,-0.001231,-0.002273,-0.000188,-0.000788,-0.001262,-0.000313,0.058238,0.026992,0.089485,0.013764,-0.021455,0.048982
38,-0.126193,-0.175239,-0.077146,-0.011523,-0.018889,-0.004157,-0.000491,-0.001330,0.000349,-0.000834,-0.001283,-0.000385,0.026528,0.001312,0.051743,-0.014437,-0.036361,0.007486
39,-0.118990,-0.161982,-0.075998,-0.009678,-0.017137,-0.002219,-0.000750,-0.001705,0.000205,-0.000853,-0.001292,-0.000414,0.024872,0.001089,0.048655,0.008004,-0.025923,0.041930
40,-0.115457,-0.166241,-0.064672,-0.006267,-0.014034,0.001500,-0.000732,-0.001680,0.000215,-0.000878,-0.001295,-0.000461,0.017802,-0.003889,0.039493,0.000710,-0.042599,0.044018
41,-0.088269,-0.135894,-0.040644,-0.002225,-0.010937,0.006486,-0.000011,-0.000805,0.000782,-0.000965,-0.001361,-0.000569,-0.028507,-0.053689,-0.003324,-0.038290,-0.058151,-0.018429
42,-0.071935,-0.118533,-0.025336,0.001805,-0.004535,0.008145,-0.000157,-0.000913,0.000600,-0.000931,-0.001328,-0.000534,-0.018029,-0.035089,-0.000969,-0.056238,-0.081874,-0.030602
43,-0.036847,-0.091403,0.017710,0.003282,-0.002162,0.008726,-0.000186,-0.000921,0.000549,-0.000913,-0.001308,-0.000518,-0.010697,-0.032569,0.011175,-0.048116,-0.068857,-0.027374
44,0.002276,-0.050261,0.054814,0.003526,-0.003056,0.010107,-0.000148,-0.000906,0.000611,-0.000900,-0.001294,-0.000507,-0.017504,-0.043487,0.008478,-0.042976,-0.068171,-0.017780
45,0.022587,-0.027704,0.072877,0.003592,-0.002927,0.010112,-0.000001,-0.000843,0.000840,-0.000948,-0.001342,-0.000554,-0.032245,-0.048918,-0.015572,-0.030203,-0.055120,-0.005285
46,0.019493,-0.036792,0.075779,-0.000831,-0.006347,0.004685,-0.000180,-0.001159,0.000799,-0.000967,-0.001363,-0.000572,-0.007326,-0.027728,0.013075,-0.028970,-0.056536,-0.001405
47,0.026581,-0.020703,0.073865,-0.004188,-0.009267,0.000891,-0.000142,-0.001253,0.000970,-0.000986,-0.001378,-0.000594,-0.016036,-0.046273,0.014202,-0.010501,-0.038749,0.017746
48,0.046796,-0.003062,0.096654,-0.004041,-0.008781,0.000700,0.000302,-0.000710,0.001314,-0.001026,-0.001411,-0.000642,-0.033278,-0.060382,-0.006175,-0.017489,-0.040471,0.005493
