h,y1_med,y1_lo,y1_hi,log_sp500_med,log_sp500_lo,log_sp500_hi,log_rgdp_med,log_rgdp_lo,log_rgdp_hi,log_pgdp_med,log_pgdp_lo,log_pgdp_hi,unemp_med,unemp_lo,unemp_hi,EBP_med,EBP_lo,EBP_hi
0,0.046235,0.027456,0.064250,-0.000502,-0.005738,0.004664,0.000116,-0.000750,0.000997,-0.000744,-0.001344,-0.000123,-0.002333,-0.025882,0.022178,0.024791,0.005516,0.043218
1,0.035092,0.018032,0.052746,-0.004057,-0.008724,0.000764,-0.000135,-0.000849,0.000636,-0.000786,-0.001317,-0.000241,-0.006983,-0.028294,0.013983,0.034488,0.016561,0.051455
2,0.043396,0.025397,0.061151,-0.003579,-0.008433,0.001186,-0.000272,-0.001066,0.000489,-0.000781,-0.001366,-0.000245,-0.011211,-0.032801,0.010891,0.052579,0.035781,0.070388
3,0.046980,0.027934,0.066192,-0.004912,-0.009956,-0.000199,-0.000347,-0.001150,0.000460,-0.000795,-0.001364,-0.000221,0.006280,-0.015481,0.028574,0.050778,0.031747,0.069038
4,0.043810,0.024250,0.064399,-0.006643,-0.011748,-0.001467,-0.000248,-0.001047,0.000617,-0.000713,-0.001316,-0.000101,0.020995,-0.002145,0.043770,0.045388,0.026317,0.063937
5,0.042686,0.022208,0.064611,-0.006864,-0.012067,-0.001638,-0.000309,-0.001162,0.000531,-0.000787,-0.001445,-0.000186,0.010756,-0.011502,0.034525,0.056164,0.036396,0.076324
6,0.041095,0.019492,0.063024,-0.011301,-0.016705,-0.006055,-0.000284,-0.001137,0.000534,-0.000786,-0.001395,-0.000186,0.007927,-0.015530,0.030647,0.052179,0.032386,0.072607
7,0.032770,0.010568,0.056394,-0.009990,-0.015571,-0.004482,-0.000323,-0.001206,0.000550,-0.000736,-0.001385,-0.000086,0.011504,-0.011803,0.036060,0.054812,0.034288,0.075656
8,0.035050,0.011768,0.059263,-0.009688,-0.015344,-0.004275,-0.000307,-0.001210,0.000545,-0.000569,-0.001213,0.000058,0.018092,-0.005427,0.042531,0.034308,0.013387,0.054590
9,0.030903,0.007961,0.056847,-0.012725,-0.018467,-0.007277,-0.000271,-0.001169,0.000640,-0.000490,-0.001154,0.000188,0.044155,0.019268,0.068675,0.040106,0.019766,0.062653
10,0.024739,0.000576,0.049258,-0.009487,-0.015551,-0.003655,-0.000259,-0.001194,0.000690,-0.000393,-0.001092,0.000298,0.027206,0.001192,0.052368,0.034537,0.013722,0.056746
11,0.022227,-0.001896,0.047478,-0.010025,-0.015587,-0.004564,-0.000255,-0.001187,0.000632,-0.000302,-0.000974,0.000347,0.049716,0.025779,0.076062,-0.001653,-0.022759,0.020060
12,0.022869,-0.001564,0.050050,-0.011306,-0.017346,-0.005612,-0.000318,-0.001240,0.000589,-0.000308,-0.001005,0.000392,0.045136,0.019194,0.070993,0.007677,-0.012575,0.029156
13,0.011392,-0.008363,0.034643,-0.007011,-0.011856,-0.002994,-0.000613,-0.001318,0.000073,-0.000625,-0.001168,-0.000112,0.048025,0.030067,0.068005,0.002420,-0.012370,0.018520
14,0.008587,-0.011062,0.031298,-0.007178,-0.011892,-0.003238,-0.000599,-0.001304,0.000088,-0.000578,-0.001130,-0.000070,0.050600,0.032123,0.071960,-0.005179,-0.019816,0.009962
15,0.007668,-0.012292,0.030622,-0.007101,-0.011845,-0.003202,-0.000647,-0.001344,0.000056,-0.000535,-0.001079,-0.000000,0.047524,0.028678,0.069083,-0.009163,-0.023612,0.005970
16,0.004789,-0.014895,0.026316,-0.005583,-0.010252,-0.001678,-0.000770,-0.001474,-0.000064,-0.000561,-0.001108,-0.000058,0.048320,0.029478,0.070584,-0.011157,-0.025921,0.003123
17,0.004037,-0.015275,0.025766,-0.005032,-0.009475,-0.001070,-0.000773,-0.001501,-0.000078,-0.000554,-0.001102,-0.000055,0.048973,0.029650,0.071684,-0.014766,-0.029169,-0.001444
18,0.003271,-0.014670,0.023861,-0.004469,-0.008983,-0.000844,-0.000819,-0.001556,-0.000120,-0.000579,-0.001105,-0.000059,0.050531,0.030759,0.073295,-0.014886,-0.028543,-0.002202
19,0.001935,-0.015316,0.021013,-0.003789,-0.008252,-0.000158,-0.000863,-0.001595,-0.000176,-0.000573,-0.001119,-0.000099,0.044479,0.025610,0.068417,-0.014828,-0.027619,-0.002966
20,0.000356,-0.016775,0.018159,-0.003487,-0.007726,-0.000157,-0.000901,-0.001637,-0.000222,-0.000592,-0.001104,-0.000097,0.046966,0.027620,0.069907,-0.015090,-0.027679,-0.005050
21,0.000692,-0.015283,0.018034,-0.003260,-0.007387,0.000174,-0.000931,-0.001670,-0.000272,-0.000606,-0.001107,-0.000130,0.042418,0.022931,0.066069,-0.012680,-0.024824,-0.002809
22,-0.000715,-0.014920,0.014674,-0.002921,-0.006940,0.000164,-0.000975,-0.001702,-0.000357,-0.000638,-0.001143,-0.000188,0.041849,0.023740,0.065473,-0.010953,-0.022007,-0.001818
23,-0.001914,-0.015500,0.012437,-0.003022,-0.006818,0.000059,-0.000987,-0.001715,-0.000345,-0.000594,-0.001093,-0.000147,0.039357,0.020413,0.062969,-0.007860,-0.017448,0.000539
24,-0.001446,-0.014377,0.011726,-0.003030,-0.006539,-0.000064,-0.000972,-0.001697,-0.000358,-0.000604,-0.001114,-0.000186,0.037649,0.019818,0.060762,-0.007832,-0.017683,0.000326
25,-0.001076,-0.013457,0.011468,-0.003257,-0.006801,-0.000393,-0.000962,-0.001690,-0.000367,-0.000583,-0.001082,-0.000164,0.036593,0.018195,0.059175,-0.006017,-0.015069,0.001867
26,-0.001892,-0.013524,0.010160,-0.003219,-0.006639,-0.000489,-0.000972,-0.001699,-0.000368,-0.000588,-0.001076,-0.000176,0.034623,0.017067,0.057421,-0.004207,-0.012599,0.003286
27,-0.002460,-0.013382,0.008368,-0.003311,-0.006553,-0.000686,-0.000970,-0.001694,-0.000364,-0.000589,-0.001082,-0.000186,0.034118,0.016960,0.057348,-0.002872,-0.011129,0.004526
28,-0.002941,-0.013477,0.007667,-0.003602,-0.006762,-0.001018,-0.000960,-0.001672,-0.000369,-0.000594,-0.001063,-0.000185,0.032261,0.015441,0.054959,-0.001833,-0.009565,0.005613
29,-0.003720,-0.014103,0.006083,-0.003761,-0.006725,-0.001137,-0.000957,-0.001675,-0.000375,-0.000586,-0.001071,-0.000194,0.031961,0.015396,0.053999,-0.000941,-0.008125,0.006472
30,-0.004430,-0.014184,0.005374,-0.003778,-0.006812,-0.001284,-0.000950,-0.001661,-0.000368,-0.000588,-0.001061,-0.000201,0.030266,0.014404,0.053026,-0.000142,-0.006721,0.007143
31,-0.004932,-0.014402,0.004282,-0.003950,-0.006903,-0.001449,-0.000946,-0.001676,-0.000373,-0.000593,-0.001056,-0.000202,0.030497,0.014642,0.051927,0.000139,-0.005865,0.007091
32,-0.005618,-0.014920,0.003176,-0.004016,-0.006969,-0.001585,-0.000936,-0.001646,-0.000375,-0.000580,-0.001054,-0.000210,0.029419,0.013874,0.050044,0.000808,-0.004926,0.007395
33,-0.006260,-0.015413,0.002298,-0.004098,-0.006999,-0.001702,-0.000935,-0.001642,-0.000376,-0.000587,-0.001057,-0.000215,0.029228,0.014049,0.050088,0.000457,-0.004903,0.006624
34,-0.006858,-0.015663,0.001605,-0.004165,-0.007111,-0.001791,-0.000928,-0.001633,-0.000368,-0.000585,-0.001051,-0.000210,0.029056,0.013617,0.048550,0.000543,-0.004275,0.006199
35,-0.007191,-0.016117,0.000690,-0.004141,-0.007019,-0.001794,-0.000939,-0.001647,-0.000377,-0.000594,-0.001058,-0.000224,0.028418,0.013690,0.047879,0.000243,-0.004266,0.005517
36,-0.007875,-0.016596,-0.000218,-0.004203,-0.007051,-0.001777,-0.000939,-0.001632,-0.000385,-0.000597,-0.001058,-0.000228,0.028422,0.013717,0.047500,0.000236,-0.003932,0.005527
37,-0.008537,-0.016999,-0.001266,-0.004151,-0.007000,-0.001792,-0.000937,-0.001626,-0.000393,-0.000601,-0.001054,-0.000239,0.027708,0.013271,0.046308,0.000098,-0.003900,0.004756
